model_version,accuracy_mean,precision_mean,recall_mean,weighted_f1_mean,fit_time_mean_sec,weighted_f1_change_vs_baseline
baseline,0.6732834304584775,0.6788869265145036,0.6576605156775926,0.6732011163369426,27.11537226041158,0.0
tuned,0.673997514596794,0.6799986094303428,0.6573747655374681,0.6739061929489183,33.60653535525004,0.000705076611975719
