iter	Passed	Remaining
409	4506	6484
410	4519	6477
411	4535	6472
412	4545	6460
413	4558	6452
414	4569	6440
415	4579	6428
416	4590	6418
417	4604	6411
418	4616	6401
419	4627	6390
420	4639	6380
421	4650	6370
422	4663	6361
423	4674	6350
424	4687	6341
425	4698	6330
426	4711	6321
427	4722	6311
428	4733	6300
429	4744	6289
430	4754	6277
431	4764	6264
432	4776	6254
433	4787	6242
434	4795	6229
435	4806	6218
436	4817	6206
437	4826	6193
438	4838	6182
439	4848	6171
440	4860	6160
441	4869	6147
442	4880	6135
443	4891	6125
444	4902	6114
445	4912	6101
446	4923	6091
447	4937	6083
448	4951	6076
449	4962	6065
450	4973	6054
451	4986	6045
452	4999	6036
453	5010	6025
454	5020	6013
455	5031	6003
456	5043	5992
457	5055	5982
458	5066	5972
459	5080	5963
460	5090	5951
461	5101	5940
462	5113	5930
463	5123	5918
464	5132	5905
465	5143	5894
466	5152	5881
467	5162	5868
468	5172	5856
469	5184	5845
470	5194	5834
471	5204	5821
472	5214	5809
473	5224	5797
474	5234	5785
475	5244	5772
476	5254	5760
477	5264	5749
478	5274	5737
479	5287	5728
480	5299	5717
481	5309	5705
482	5319	5693
483	5330	5683
484	5341	5672
485	5353	5662
486	5365	5651
487	5377	5642
488	5388	5631
489	5400	5621
490	5412	5610
491	5423	5599
492	5433	5587
493	5445	5577
494	5456	5566
495	5466	5554
496	5475	5542
497	5486	5530
498	5498	5520
499	5508	5508
500	5519	5497
501	5530	5486
502	5541	5475
503	5551	5463
504	5562	5452
505	5572	5440
506	5582	5428
507	5594	5418
508	5604	5406
509	5614	5394
510	5625	5382
511	5634	5370
512	5644	5358
513	5654	5346
514	5664	5334
515	5675	5323
516	5686	5312
517	5697	5301
518	5709	5291
519	5720	5280
520	5730	5268
521	5741	5257
522	5753	5247
523	5764	5236
524	5776	5226
525	5786	5214
526	5799	5204
527	5809	5193
528	5819	5181
529	5831	5170
530	5842	5160
531	5852	5148
532	5862	5136
533	5873	5125
534	5883	5113
535	5893	5101
536	5903	5089
537	5913	5078
538	5923	5066
539	5933	5054
540	5945	5044
541	5976	5050
542	5987	5039
543	5997	5027
544	6007	5015
545	6018	5004
546	6028	4992
547	6038	4981
548	6048	4968
549	6060	4958
550	6071	4947
551	6082	4936
552	6091	4924
553	6102	4913
554	6112	4901
555	6123	4889
556	6132	4877
557	6143	4866
558	6154	4855
559	6164	4843
560	6176	4832
561	6186	4821
562	6197	4810
563	6208	4799
564	6218	4787
565	6228	4776
566	6238	4763
567	6248	4752
568	6258	4740
569	6268	4728
570	6279	4717
571	6289	4706
572	6301	4695
573	6310	4683
574	6320	4671
575	6331	4660
576	6340	4648
577	6351	4637
578	6362	4626
579	6371	4614
580	6382	4602
581	6393	4591
582	6405	4581
583	6417	4571
584	6428	4560
585	6439	4549
586	6449	4537
587	6461	4527
588	6471	4515
589	6480	4503
590	6490	4491
591	6502	4481
592	6513	4470
593	6524	4459
594	6533	4447
595	6543	4435
596	6554	4424
597	6565	4413
598	6575	4401
599	6585	4390
600	6596	4379
601	6607	4368
602	6619	4357
603	6628	4345
604	6639	4335
605	6649	4323
606	6658	4311
607	6669	4300
608	6679	4288
609	6690	4277
610	6700	4266
611	6711	4255
612	6723	4244
613	6732	4232
614	6742	4221
615	6753	4210
616	6762	4197
617	6774	4187
618	6784	4176
619	6796	4165
620	6809	4155
621	6821	4145
622	6832	4134
623	6842	4123
624	6852	4111
625	6863	4100
626	6875	4089
627	6886	4079
628	6895	4067
629	6905	4055
630	6915	4044
631	6926	4033
632	6936	4021
633	6947	4010
634	6956	3998
635	6965	3986
636	6975	3975
637	6985	3963
638	6996	3952
639	7007	3941
640	7018	3930
641	7027	3918
642	7039	3908
643	7051	3898
644	7061	3886
645	7072	3875
646	7081	3863
647	7093	3853
648	7103	3841
649	7114	3830
650	7125	3819
