iter	Logloss
0	0.6909517055
1	0.6888409342
2	0.6868187982
3	0.6849130286
4	0.6831122944
5	0.6813587478
6	0.6797030801
7	0.6780883383
8	0.6765341278
9	0.6750550597
10	0.6736546377
11	0.6722962597
12	0.6709900639
13	0.6697036228
14	0.6684989587
15	0.6673463278
16	0.6662393936
17	0.6651873998
18	0.6641518062
19	0.6631455091
20	0.6621964634
21	0.6612759689
22	0.6603805963
23	0.6595332314
24	0.658731936
25	0.6579478607
26	0.6571660218
27	0.6564363651
28	0.6557220649
29	0.6550362413
30	0.654374347
31	0.6537343692
32	0.6531060951
33	0.6525086831
34	0.6519193966
35	0.6513776705
36	0.6508336335
37	0.6503354423
38	0.6498172727
39	0.6493378671
40	0.6488619652
41	0.6484067125
42	0.6479402779
43	0.6475074635
44	0.6470902293
45	0.6466899916
46	0.6462982522
47	0.6459097182
48	0.6455275952
49	0.6451599341
50	0.644792273
51	0.6444471248
52	0.6441210604
53	0.6438110979
54	0.6434892827
55	0.6431799166
56	0.6428800924
57	0.6425757954
58	0.6422936387
59	0.6420234092
60	0.6417529562
61	0.6415226089
62	0.6412714633
63	0.6410097321
64	0.6407603756
65	0.6405309229
66	0.6403035575
67	0.6400804411
68	0.6398683576
69	0.6396563487
70	0.6394465016
71	0.6392246526
72	0.6390356783
73	0.6388458096
74	0.6386300733
75	0.63844259
76	0.6382540631
77	0.6380660579
78	0.6378608327
79	0.6376863949
80	0.6375123299
81	0.6373425886
82	0.637166809
83	0.6369940858
84	0.6368244936
85	0.6366740596
86	0.6365106547
87	0.6363504553
88	0.6362048668
89	0.63603028
90	0.6358653096
91	0.6357203921
92	0.6355693618
93	0.6354380117
94	0.6352837759
95	0.6351455676
96	0.6349948355
97	0.6348549125
98	0.6347336261
99	0.6345945977
100	0.6344633222
101	0.6343239956
102	0.6341959255
103	0.6340757573
104	0.6339291997
105	0.6337997133
106	0.6336858815
107	0.6335619114
108	0.6334201248
109	0.6333041312
110	0.6331949212
111	0.6330775857
112	0.6329664376
113	0.6328521585
114	0.6327365376
115	0.6326256131
116	0.6325271377
117	0.6324232206
118	0.6323160233
119	0.6322140444
120	0.632116389
121	0.6320249956
122	0.6319286076
123	0.6318283431
124	0.6317040749
125	0.6316132778
126	0.631523748
127	0.6314292236
128	0.6313307483
129	0.6312132637
130	0.6311247776
131	0.631046206
132	0.6309475816
133	0.6308598409
134	0.6307797039
135	0.6306982996
136	0.6306131681
137	0.630528931
138	0.630432543
139	0.6303485296
140	0.6302729399
141	0.6301761046
142	0.6300976822
143	0.6300173215
144	0.6299394209
145	0.6298551093
146	0.6297785505
147	0.6296961772
148	0.6296185002
149	0.6295492469
150	0.6294682899
151	0.6293920293
152	0.6293241924
153	0.6292500936
154	0.629189115
155	0.6291217999
156	0.6290484466
157	0.6289774787
158	0.6289044236
159	0.628839494
160	0.6287636807
161	0.6286875692
162	0.6286024376
163	0.6285306498
164	0.6284679565
165	0.6284089161
166	0.6283465956
167	0.6282807714
168	0.6282230728
169	0.6281599323
170	0.6281055882
171	0.6280428204
172	0.6279810218
173	0.6279172849
174	0.6278665936
175	0.6278042731
176	0.6277503763
177	0.627693274
178	0.6276431791
179	0.627578324
180	0.6275139908
181	0.6274550249
182	0.6274061227
183	0.6273467095
184	0.6272935581
185	0.6272403323
186	0.6271897155
187	0.6271276187
188	0.6270717837
189	0.6270269069
190	0.6269741283
191	0.6269254498
192	0.6268725966
193	0.6268200417
194	0.6267769541
195	0.62672753
196	0.6266757205
197	0.6266240601
198	0.6265805252
199	0.6265354249
200	0.62649353
201	0.6264524551
202	0.6263972911
203	0.6263514452
204	0.6263007539
205	0.626253939
206	0.6262130132
207	0.6261720129
208	0.6261314599
209	0.626083154
210	0.6260382773
211	0.6259981715
212	0.6259535185
213	0.6259185564
214	0.625879047
215	0.6258365557
216	0.6257923499
217	0.6257573133
218	0.6257113929
219	0.625662938
220	0.625624994
221	0.6255917465
222	0.6255599899
223	0.6255232387
224	0.6254817165
225	0.6254486181
226	0.6254123142
227	0.625371612
228	0.6253341899
229	0.6252978487
230	0.6252525247
231	0.6252139844
232	0.6251746987
233	0.6251405566
234	0.6251071972
235	0.6250731669
236	0.6250406649
237	0.6250005964
238	0.6249649261
239	0.6249289576
240	0.6248887773
241	0.624853107
242	0.6248224686
243	0.6247943275
244	0.6247604836
245	0.6247261924
246	0.6247016667
247	0.6246617846
248	0.6246325253
249	0.6245993896
250	0.6245648747
251	0.6245370691
252	0.6245072506
253	0.6244731086
254	0.6244428429
255	0.6244115335
256	0.6243836906
257	0.6243597986
258	0.6243279301
259	0.6243048581
260	0.6242716851
261	0.6242398167
262	0.6242086192
263	0.6241805899
264	0.6241561388
265	0.6241286313
266	0.6240979556
267	0.6240746972
268	0.6240418224
269	0.6240142031
270	0.6239923611
271	0.6239655245
272	0.6239429744
273	0.6239194178
274	0.6238957494
275	0.6238715965
276	0.6238494936
277	0.6238209425
278	0.6237944786
279	0.6237652193
280	0.6237406191
281	0.6237058434
282	0.6236832932
283	0.6236537357
284	0.6236295082
285	0.6236071072
286	0.6235757978
287	0.6235479921
288	0.6235224974
289	0.6234970027
290	0.6234688615
291	0.6234424349
292	0.6234138093
293	0.6233883145
294	0.6233626707
295	0.6233367659
296	0.6233142903
297	0.6232921128
298	0.6232688172
299	0.6232488761
300	0.6232215177
301	0.623204074
302	0.6231852884
303	0.6231666519
304	0.6231402626
305	0.6231186815
306	0.6230947149
307	0.623070562
308	0.6230477136
309	0.6230263189
310	0.6230035824
311	0.6229777149
312	0.6229570657
313	0.6229344782
314	0.622915469
315	0.6228919497
316	0.6228669395
317	0.6228490857
318	0.6228281383
319	0.6228086445
320	0.6227896725
321	0.6227700296
322	0.6227498276
323	0.6227271657
324	0.6227094237
325	0.6226902281
326	0.6226674543
327	0.6226482587
328	0.6226306658
329	0.622613632
330	0.6225989465
331	0.6225807945
332	0.6225623071
333	0.6225459442
334	0.6225212322
335	0.6224952156
336	0.6224744918
337	0.6224557808
338	0.6224394179
339	0.6224186568
340	0.6223974485
341	0.6223751965
342	0.6223619273
343	0.6223400108
344	0.6223214115
345	0.6223055332
346	0.6222876049
347	0.6222709066
348	0.6222511519
349	0.6222305026
350	0.6222131334
351	0.6221903596
352	0.6221738104
353	0.6221601684
354	0.6221416437
355	0.62212174
356	0.6221045198
357	0.6220861442
358	0.6220664641
359	0.6220448457
360	0.622030682
361	0.6220158473
362	0.6219998944
363	0.6219809597
364	0.6219636651
365	0.6219453267
366	0.6219284793
367	0.6219051837
368	0.6218864354
369	0.6218688798
370	0.6218512124
371	0.6218359677
372	0.6218200894
373	0.6218041365
374	0.6217880719
375	0.6217677581
376	0.6217460279
377	0.6217333923
378	0.621716284
379	0.6216985793
380	0.6216829992
381	0.62166727
382	0.621652659
383	0.6216348425
384	0.6216206042
385	0.6216085277
386	0.6215897794
387	0.6215722983
388	0.6215565691
389	0.6215413617
390	0.621524067
391	0.6215043869
392	0.6214862349
393	0.6214699839
394	0.6214560065
395	0.6214409855
396	0.6214286481
397	0.6214157144
398	0.621401737
399	0.6213846287
400	0.6213729249
401	0.6213577175
402	0.6213457156
403	0.6213360246
404	0.6213237991
405	0.621310269
406	0.621300988
407	0.6212866379
408	0.6212751578
409	0.6212587949
410	0.6212403821
411	0.6212269638
412	0.6212072091
413	0.6211922999
414	0.6211725079
415	0.6211590523
416	0.6211422049
417	0.6211262893
418	0.6211138402
419	0.6210996391
420	0.6210817854
421	0.6210676589
422	0.6210529733
423	0.6210362377
424	0.6210242358
425	0.6210070902
426	0.620990541
427	0.6209748118
428	0.6209607599
429	0.6209490934
430	0.6209339978
431	0.620920915
432	0.6209077576
433	0.620893743
434	0.6208795047
435	0.6208700746
436	0.6208554636
437	0.6208417471
438	0.6208276952
439	0.6208171469
440	0.6208067105
441	0.6207911676
442	0.6207818494
443	0.6207665674
444	0.6207525528
445	0.6207414827
446	0.6207248962
447	0.6207119997
448	0.620701116
449	0.6206896732
450	0.6206779322
451	0.6206647748
452	0.620650201
453	0.6206393546
454	0.6206271663
455	0.6206125553
456	0.6206017834
457	0.6205863523
458	0.6205743132
459	0.6205607085
460	0.6205424447
461	0.6205271628
462	0.6205153845
463	0.6205074454
464	0.6204923871
465	0.6204810933
466	0.6204711787
467	0.6204569777
468	0.6204450503
469	0.6204341666
470	0.6204191828
471	0.6204045345
472	0.6203877617
473	0.620375387
474	0.6203650997
475	0.620350265
476	0.6203358404
477	0.6203242857
478	0.6203116129
479	0.6203007665
480	0.6202881682
481	0.6202759426
482	0.6202641271
483	0.6202446706
484	0.6202335632
485	0.6202212258
486	0.6202085903
487	0.6201973338
488	0.6201781382
489	0.6201656517
490	0.6201511153
491	0.620135237
492	0.6201236823
493	0.6201153704
494	0.6200990449
495	0.6200850675
496	0.6200720592
497	0.6200600573
498	0.6200464899
499	0.6200325125
500	0.6200168578
501	0.620003775
502	0.619991624
503	0.6199797712
504	0.6199656447
505	0.6199499528
506	0.6199391063
507	0.6199275517
508	0.6199181962
509	0.6199054488
510	0.6198952732
511	0.6198804013
512	0.6198658276
513	0.6198529311
514	0.6198405192
515	0.6198289645
516	0.6198143908
517	0.6198030971
518	0.6197898651
519	0.6197794287
520	0.6197652277
521	0.6197480075
522	0.619739472
523	0.6197262774
524	0.6197106972
525	0.6197008572
526	0.6196919116
527	0.6196802452
528	0.6196692496
529	0.619657695
530	0.6196466249
531	0.6196365985
532	0.619624932
533	0.6196128928
534	0.6196009655
535	0.6195897463
536	0.6195753589
537	0.6195653697
538	0.6195525478
539	0.6195429686
540	0.6195352904
541	0.6195245185
542	0.6195115848
543	0.6194961537
544	0.6194825491
545	0.6194681244
546	0.6194597007
547	0.619445947
548	0.6194355478
549	0.6194249995
550	0.6194103512
551	0.6193978275
552	0.6193856392
553	0.6193748673
554	0.6193617845
555	0.6193489626
556	0.6193403152
557	0.6193253687
558	0.6193127705
559	0.6192997622
560	0.6192909285
561	0.6192804547
562	0.6192686392
563	0.6192558918
564	0.6192451945
565	0.6192340871
566	0.6192192897
567	0.6192105678
568	0.6192010259
569	0.6191889122
570	0.6191803021
571	0.6191721393
572	0.6191607338
573	0.6191460855
574	0.619134829
575	0.6191227526
576	0.6191125398
577	0.6191009479
578	0.6190913314
579	0.619081305
580	0.6190697131
581	0.619058643
582	0.6190472374
583	0.6190367637
584	0.6190246873
585	0.619015779
586	0.6190057153
587	0.6189960616
588	0.6189821587
589	0.6189722441
590	0.618960764
591	0.6189524149
592	0.6189408975
593	0.6189306474
594	0.6189221119
595	0.6189126446
596	0.618905339
597	0.6188937099
598	0.6188821552
599	0.6188696688
600	0.6188582259
601	0.6188468577
602	0.6188344458
603	0.6188268793
604	0.6188158092
605	0.618806081
606	0.6187967627
607	0.6187856926
608	0.6187734671
609	0.6187624343
610	0.6187513269
611	0.6187423814
612	0.6187323922
613	0.6187231485
614	0.6187128612
615	0.6187022383
616	0.6186947837
617	0.618687851
618	0.6186796509
619	0.6186678353
620	0.6186569889
621	0.6186472979
622	0.6186366751
623	0.6186278041
624	0.6186164731
625	0.6186089812
626	0.6185997003
627	0.6185860956
628	0.6185772619
629	0.6185687637
630	0.6185575445
631	0.6185487108
632	0.6185395789
633	0.6185290679
634	0.6185171778
635	0.6185086423
636	0.6184967895
637	0.6184868376
638	0.6184737547
639	0.6184607464
640	0.6184515773
641	0.618441849
642	0.6184328662
643	0.6184238461
644	0.6184135961
645	0.6184048369
646	0.6183960405
647	0.6183834422
648	0.6183729685
649	0.6183644702
650	0.6183552265
651	0.6183432246
652	0.6183336454
653	0.6183222399
654	0.6183097534
655	0.6183009943
656	0.6182891414
657	0.6182780714
658	0.6182697967
659	0.6182629012
660	0.6182517566
661	0.6182408729
662	0.6182299892
663	0.6182211182
664	0.6182098245
665	0.6182004317
666	0.6181920825
667	0.6181835842
668	0.6181729242
669	0.6181631586
670	0.6181524613
671	0.6181428076
672	0.6181331538
673	0.6181242829
674	0.6181121691
675	0.6181011363
676	0.6180917808
677	0.618082388
678	0.6180724734
679	0.6180628569
680	0.6180546196
681	0.6180457113
682	0.6180353867
683	0.6180256212
684	0.618012352
685	0.6180034065
686	0.6179931564
687	0.6179814899
688	0.6179704944
689	0.6179618098
690	0.6179552124
691	0.6179491369
692	0.6179403778
693	0.6179320286
694	0.6179231949
695	0.6179152558
696	0.6179063475
697	0.6178959856
698	0.6178856237
699	0.6178773864
700	0.617867509
701	0.6178596817
702	0.6178486116
703	0.6178422379
704	0.6178312796
705	0.6178230796
706	0.6178136495
707	0.6178053003
708	0.6177979576
709	0.6177896829
710	0.6177817811
711	0.6177733201
712	0.6177618773
713	0.6177527454
714	0.6177442844
715	0.6177338107
716	0.6177250888
717	0.6177173733
718	0.6177111114
719	0.6177051477
720	0.6176928104
721	0.6176846103
722	0.6176743229
723	0.6176649674
724	0.6176550528
725	0.6176446909
726	0.6176340681
727	0.617623818
728	0.6176139406
729	0.617604026
730	0.6175959378
731	0.6175874395
732	0.6175789786
733	0.6175712258
734	0.617560342
735	0.6175516574
736	0.617543271
737	0.6175320145
738	0.6175231063
739	0.6175145335
740	0.6175068553
741	0.6174956361
742	0.617486206
743	0.6174774468
744	0.6174696195
745	0.6174640286
746	0.6174540021
747	0.6174470693
748	0.6174388693
749	0.6174312656
750	0.6174218355
751	0.6174128154
752	0.6174033481
753	0.6173948871
754	0.6173889607
755	0.6173810588
756	0.6173698024
757	0.6173626087
758	0.6173550795
759	0.6173455376
760	0.6173374866
761	0.617327982
762	0.6173192601
763	0.6173128864
764	0.6173034936
765	0.6172942872
766	0.617285118
767	0.6172757998
768	0.6172708798
769	0.6172620833
770	0.6172531751
771	0.6172446768
772	0.6172368122
773	0.6172282767
774	0.6172186975
775	0.6172122866
776	0.6172028938
777	0.6171941346
778	0.6171874627
779	0.6171785917
780	0.6171703544
781	0.6171627134
782	0.6171541034
783	0.6171465369
784	0.6171385232
785	0.6171297268
786	0.6171222349
787	0.6171133267
788	0.6171063194
789	0.617096442
790	0.6170878692
791	0.6170789982
792	0.6170671827
793	0.617058759
794	0.6170502235
795	0.6170428061
796	0.6170333388
797	0.6170271515
798	0.6170201069
799	0.6170119813
800	0.6170045267
801	0.6169976685
802	0.6169909594
803	0.6169806347
804	0.6169723228
805	0.6169638619
806	0.6169533881
807	0.616947909
808	0.616938628
809	0.6169306889
810	0.6169221161
811	0.6169146988
812	0.616908996
813	0.616903405
814	0.6168954659
815	0.6168892413
816	0.6168794757
817	0.616872953
818	0.6168643429
819	0.6168572983
820	0.6168492473
821	0.6168398172
822	0.6168332199
823	0.6168267344
824	0.6168183853
825	0.6168126079
826	0.6168044079
827	0.6167956114
828	0.6167866659
829	0.616776304
830	0.6167704149
831	0.6167627739
832	0.6167527475
833	0.616745181
834	0.6167387701
835	0.6167295636
836	0.6167229663
837	0.6167137226
838	0.6167061189
839	0.6166980679
840	0.6166875942
841	0.6166783132
842	0.6166688086
843	0.6166626213
844	0.6166530049
845	0.6166457366
846	0.6166398848
847	0.6166301565
848	0.6166223292
849	0.6166144646
850	0.6166080536
851	0.6165996672
852	0.6165915789
853	0.6165853543
854	0.6165778997
855	0.6165702215
856	0.6165633632
857	0.6165572132
858	0.616550355
859	0.6165425649
860	0.6165345512
861	0.6165287739
862	0.6165210211
863	0.6165131565
864	0.6165059628
865	0.6164988436
866	0.6164892272
867	0.6164804308
868	0.6164709634
869	0.6164658197
870	0.6164601915
871	0.6164525133
872	0.6164425987
873	0.6164330568
874	0.6164242976
875	0.6164181475
876	0.6164099475
877	0.6164012629
878	0.6163943674
879	0.6163870991
880	0.6163797563
881	0.6163746499
882	0.6163651453
883	0.6163564607
884	0.6163495279
885	0.6163409178
886	0.6163325687
887	0.6163241823
888	0.6163151995
889	0.6163078567
890	0.6162998802
891	0.6162923884
892	0.6162863129
893	0.6162754291
894	0.6162698382
895	0.6162624954
896	0.6162556372
897	0.6162465426
898	0.616238007
899	0.6162296206
900	0.6162249987
901	0.6162152705
902	0.6162086359
903	0.6162003986
904	0.6161936149
905	0.6161879121
906	0.6161801966
907	0.6161704683
908	0.6161633864
909	0.6161544782
910	0.6161473218
911	0.6161405754
912	0.6161350217
913	0.6161284989
914	0.6161210816
915	0.6161122479
916	0.6161050914
917	0.616099985
918	0.6160963323
919	0.6160886913
920	0.6160809012
921	0.6160727385
922	0.6160662529
923	0.6160591711
924	0.6160511201
925	0.6160419882
926	0.6160350927
927	0.6160300236
928	0.6160219726
929	0.616014108
930	0.6160056097
931	0.615996776
932	0.6159890605
933	0.6159782886
934	0.6159717658
935	0.6159632676
936	0.6159558875
937	0.6159477247
938	0.6159418729
939	0.6159325546
940	0.6159245036
941	0.6159179436
942	0.6159103026
943	0.6159000153
944	0.6158911443
945	0.615883727
946	0.6158748933
947	0.6158689296
948	0.6158615122
949	0.6158548031
950	0.615849473
951	0.6158417575
952	0.6158331847
953	0.6158244629
954	0.6158188346
955	0.61581056
956	0.6158022109
957	0.6157969181
958	0.6157890162
959	0.6157818971
960	0.6157736224
961	0.6157681806
962	0.615760316
963	0.6157540168
964	0.6157494695
965	0.6157423131
966	0.6157365731
967	0.6157289694
968	0.6157232293
969	0.6157149547
970	0.6157076865
971	0.6156996355
972	0.6156906527
973	0.6156831608
974	0.6156762653
975	0.6156675807
976	0.6156621016
977	0.6156535288
978	0.6156467824
979	0.6156403341
980	0.6156323577
981	0.6156238967
982	0.6156159203
983	0.6156103666
984	0.6156028747
985	0.615594861
986	0.6155882264
987	0.6155803246
988	0.615573429
989	0.6155666826
990	0.6155596753
991	0.6155523698
992	0.6155445797
993	0.615536976
994	0.6155304533
995	0.6155240796
996	0.6155168113
997	0.6155095431
998	0.615500933
999	0.6154948575
