id,split,filled_emp_length
460318,test,0
460505,test,2
460863,test,3
460894,test,7
461175,test,3
461379,test,10
461415,test,10
461556,test,4
461673,test,3
461680,test,2
461901,test,2
462068,test,7
462101,test,0
462175,test,3
462312,test,2
462714,test,3
463976,test,1
464368,test,2
464514,test,10
465172,test,4
465500,test,10
466321,test,9
466482,test,10
466516,test,0
466771,test,0
467154,test,3
467986,test,4
468011,test,1
468315,test,0
468409,test,2
468994,test,0
469115,test,10
469289,test,4
469353,test,8
469552,test,2
469683,test,0
469718,test,4
469743,test,0
469851,test,0
469880,test,0
470224,test,8
470284,test,2
470562,test,10
471113,test,10
471184,test,9
471412,test,10
471526,test,2
471580,test,5
472362,test,10
472364,test,10
472523,test,4
472555,test,6
473166,test,2
473198,test,10
473229,test,0
473276,test,4
473569,test,0
473807,test,0
474117,test,0
474135,test,1
474232,test,9
474256,test,5
474373,test,5
474596,test,1
474628,test,10
474646,test,3
475251,test,3
475492,test,3
475531,test,10
475809,test,0
475860,test,0
475868,test,5
475958,test,6
475995,test,3
476073,test,0
476468,test,10
476500,test,2
476557,test,0
476780,test,2
477042,test,3
477281,test,10
477332,test,9
477531,test,10
477794,test,5
478200,test,10
478643,test,3
479171,test,7
479444,test,8
479493,test,3
479819,test,7
479954,test,5
480191,test,10
480454,test,10
480572,test,8
480707,test,1
480780,test,0
480843,test,6
480970,test,1
480995,test,5
481049,test,1
481266,test,1
481322,test,8
481324,test,3
481360,test,2
481872,test,7
481901,test,10
482049,test,3
482485,test,3
482680,test,10
482763,test,10
483084,test,0
483399,test,3
483989,test,0
484321,test,0
484581,test,10
484728,test,2
484847,test,2
485313,test,10
485471,test,9
485677,test,1
486095,test,2
486202,test,5
486459,test,2
486686,test,10
486892,test,4
486993,test,6
487156,test,10
487483,test,0
487786,test,10
487906,test,10
488180,test,1
488196,test,1
488607,test,3
488770,test,5
488783,test,3
488824,test,1
489139,test,5
490130,test,3
490252,test,10
490412,test,10
490662,test,5
490783,test,2
491054,test,10
491307,test,3
491487,test,3
491726,test,10
491887,test,10
492347,test,4
492369,test,6
492654,test,9
492659,test,1
492674,test,3
492800,test,7
492944,test,1
493693,test,2
493743,test,9
493816,test,8
493835,test,9
494191,test,1
494193,test,2
495272,test,10
495322,test,5
495325,test,1
495530,test,2
495692,test,1
495741,test,3
495834,test,9
495882,test,5
495960,test,4
496220,test,10
496707,test,4
496856,test,5
497019,test,6
497288,test,5
497386,test,7
497420,test,7
497767,test,4
497954,test,2
498079,test,4
498196,test,1
498235,test,1
498532,test,0
498554,test,4
498653,test,0
498882,test,6
498907,test,2
498998,test,1
499021,test,4
499143,test,4
499201,test,7
499229,test,3
499569,test,9
499650,test,5
500095,test,3
500142,test,7
500212,test,2
500265,test,6
500286,test,8
500302,test,10
500349,test,6
500950,test,6
500985,test,5
501044,test,10
501047,test,6
501284,test,5
501716,test,3
501790,test,1
502013,test,6
502142,test,9
502217,test,10
502326,test,9
503030,test,3
503395,test,10
503502,test,5
503740,test,7
503751,test,2
503966,test,3
504078,test,6
504214,test,1
504291,test,10
504302,test,2
504523,test,5
505023,test,8
505024,test,10
505869,test,8
506492,test,3
506635,test,10
506644,test,9
506684,test,10
506738,test,2
506892,test,5
507217,test,4
507634,test,4
507735,test,3
508579,test,4
508739,test,3
508802,test,5
508907,test,7
509250,test,7
509475,test,2
509516,test,0
510102,test,1
510465,test,9
510469,test,3
510506,test,10
510578,test,5
511300,test,0
511417,test,10
511441,test,5
511586,test,9
512184,test,10
512220,test,5
512562,test,9
513134,test,10
513145,test,10
513225,test,2
513640,test,8
513834,test,2
513987,test,4
514022,test,8
514286,test,2
514346,test,1
514587,test,5
514858,test,2
515020,test,10
515226,test,10
515952,test,2
515962,test,10
516040,test,10
516349,test,10
516381,test,8
516485,test,9
516826,test,6
517108,test,4
517211,test,10
517918,test,4
518231,test,10
518281,test,6
518303,test,6
518352,test,10
518390,test,8
518495,test,10
518572,test,4
518685,test,10
518817,test,2
518877,test,2
519038,test,10
519635,test,2
519704,test,7
519713,test,10
519766,test,3
519857,test,3
520008,test,5
520091,test,7
520169,test,5
520223,test,0
520427,test,5
520539,test,1
520899,test,10
520927,test,0
521130,test,10
521184,test,2
521235,test,1
521309,test,10
521396,test,7
522630,test,0
523072,test,10
523444,test,4
524114,test,9
524205,test,6
524682,test,10
524905,test,3
525095,test,6
525133,test,0
525686,test,10
526073,test,3
526111,test,1
526182,test,0
526429,test,2
526513,test,10
527037,test,2
527312,test,3
527448,test,2
527473,test,1
527513,test,10
528562,test,6
528827,test,0
528880,test,5
529030,test,10
529140,test,4
529290,test,5
529488,test,2
529503,test,4
529812,test,1
531001,test,2
531241,test,10
531427,test,5
531497,test,4
532486,test,7
532735,test,1
533539,test,2
533737,test,4
533907,test,2
533983,test,2
534432,test,4
534732,test,10
534955,test,8
535095,test,0
535406,test,6
535482,test,0
535515,test,4
535555,test,2
535847,test,10
535858,test,3
536184,test,4
536333,test,2
536423,test,5
536505,test,10
536717,test,3
537022,test,10
537043,test,7
537058,test,6
537070,test,2
537244,test,3
537393,test,10
537616,test,4
537743,test,3
538050,test,4
538165,test,10
538267,test,10
538494,test,4
538896,test,5
538964,test,5
539014,test,7
539293,test,0
539729,test,4
540288,test,3
540706,test,0
540829,test,9
541243,test,2
541417,test,0
541423,test,4
541475,test,2
541798,test,4
541934,test,8
542063,test,5
542146,test,3
542312,test,10
542781,test,2
542849,test,10
543003,test,1
543029,test,4
543251,test,2
543277,test,0
543328,test,9
543331,test,2
543486,test,0
544028,test,2
544106,test,8
544323,test,2
544339,test,6
544385,test,5
544619,test,6
544815,test,10
545346,test,6
545494,test,8
545569,test,1
545601,test,4
545930,test,9
546028,test,10
546088,test,10
546319,test,2
546338,test,0
546371,test,3
546846,test,7
546921,test,1
547076,test,7
547149,test,10
547636,test,10
547713,test,10
547882,test,7
547935,test,10
548059,test,5
548211,test,7
548397,test,5
548565,test,10
548792,test,4
549133,test,1
549411,test,5
549703,test,10
549867,test,4
549978,test,3
550681,test,4
550977,test,9
551171,test,2
551517,test,8
551541,test,2
551660,test,2
551883,test,10
551973,test,10
552080,test,5
552116,test,10
552369,test,0
552443,test,3
552796,test,5
552875,test,5
552933,test,10
553099,test,3
553306,test,4
553450,test,5
553891,test,10
554008,test,9
554275,test,6
554291,test,10
554615,test,4
554783,test,10
555191,test,2
555219,test,10
555237,test,5
555528,test,10
555995,test,6
556016,test,3
556126,test,10
556159,test,10
556232,test,5
556787,test,6
557551,test,4
557710,test,5
557926,test,9
558394,test,1
558548,test,3
559073,test,10
559560,test,3
559614,test,3
559853,test,10
560680,test,3
560745,test,7
560914,test,5
560949,test,8
561083,test,2
561280,test,10
561337,test,6
561347,test,5
561392,test,10
561407,test,5
561530,test,6
561629,test,5
561718,test,10
562175,test,10
562261,test,5
562499,test,2
563456,test,3
563511,test,10
564697,test,3
564704,test,10
564989,test,9
565302,test,1
565419,test,2
565566,test,0
566037,test,3
566133,test,2
566252,test,8
566266,test,10
566359,test,2
566671,test,5
567191,test,10
567516,test,4
567540,test,2
567629,test,8
567976,test,10
568070,test,8
568322,test,5
568340,test,10
568367,test,10
568472,test,7
568708,test,10
568773,test,5
568889,test,1
569097,test,0
569262,test,0
569349,test,6
569542,test,7
569877,test,0
570024,test,5
570407,test,6
570463,test,2
570609,test,10
571315,test,10
571416,test,10
571653,test,5
571925,test,5
572077,test,2
572284,test,5
572301,test,10
572509,test,0
572690,test,3
572892,test,7
572974,test,3
573020,test,9
573569,test,5
573788,test,1
573817,test,10
574703,test,0
574788,test,8
574811,test,10
574876,test,0
575543,test,1
575676,test,1
575712,test,5
576063,test,10
576087,test,10
576208,test,5
576232,test,10
576386,test,5
576391,test,2
576923,test,10
577078,test,2
577297,test,0
577367,test,4
577504,test,0
577510,test,0
578038,test,10
578476,test,3
579159,test,2
579272,test,4
579553,test,2
579922,test,4
580355,test,0
580465,test,3
581115,test,4
581501,test,10
582197,test,1
582576,test,7
582627,test,10
582807,test,6
583452,test,2
584444,test,10
584774,test,10
584786,test,3
584992,test,5
585341,test,0
585373,test,2
585489,test,9
585502,test,5
585801,test,5
586093,test,10
586207,test,2
586223,test,6
586428,test,3
586508,test,0
586526,test,1
586751,test,10
586967,test,0
587375,test,3
587914,test,10
587985,test,7
588220,test,2
588668,test,3
588898,test,0
589015,test,2
589107,test,6
589413,test,7
589439,test,4
589452,test,2
590387,test,10
591029,test,4
591092,test,5
591139,test,4
591400,test,1
591643,test,7
592017,test,10
592416,test,3
594206,test,3
594400,test,9
594486,test,10
594919,test,2
595079,test,10
595532,test,10
595785,test,7
596426,test,4
596450,test,3
596664,test,4
596772,test,3
596967,test,2
597163,test,1
597469,test,10
597573,test,9
597671,test,10
597972,test,9
598147,test,2
598352,test,2
598446,test,3
598794,test,4
598836,test,3
598855,test,6
599413,test,6
599414,test,4
600183,test,10
600267,test,10
600335,test,4
600470,test,2
600725,test,1
600776,test,4
601162,test,0
601251,test,10
601281,test,6
601348,test,2
601453,test,3
601579,test,0
601614,test,3
601656,test,6
601769,test,0
601962,test,0
602032,test,5
602107,test,3
602221,test,0
602431,test,2
602707,test,5
602816,test,7
602951,test,6
603102,test,7
603329,test,5
603396,test,4
603591,test,3
603853,test,10
603937,test,7
604007,test,10
604291,test,0
604501,test,3
604655,test,1
604926,test,10
605397,test,1
606069,test,3
606520,test,3
607142,test,10
607382,test,10
607432,test,8
607574,test,5
607637,test,7
607677,test,5
607693,test,2
607782,test,10
607800,test,2
607863,test,10
608008,test,0
608370,test,3
608447,test,3
609322,test,3
609371,test,0
609489,test,7
610086,test,7
610101,test,8
610148,test,2
610245,test,8
610311,test,3
611082,test,6
611129,test,2
611374,test,3
611655,test,8
611663,test,7
611858,test,3
612039,test,2
612235,test,10
612248,test,0
612325,test,9
612342,test,2
612634,test,3
612803,test,2
613046,test,6
613286,test,2
613631,test,1
613785,test,0
613830,test,8
613849,test,0
614187,test,6
614206,test,0
614319,test,10
614325,test,5
614919,test,3
615284,test,10
615693,test,1
615700,test,2
615731,test,10
616214,test,6
616568,test,5
616585,test,2
616629,test,0
616772,test,10
617163,test,2
617426,test,9
617718,test,0
618006,test,1
618078,test,6
618716,test,0
618757,test,10
618903,test,3
619342,test,4
619385,test,0
619525,test,2
619662,test,5
619857,test,3
619871,test,3
619881,test,5
620070,test,1
620074,test,8
620080,test,2
620285,test,2
620509,test,4
620588,test,1
620733,test,10
620747,test,10
620914,test,8
621020,test,4
621303,test,7
621823,test,10
622039,test,3
622122,test,6
622143,test,10
623565,test,4
623700,test,8
624023,test,1
624074,test,5
624371,test,2
624483,test,10
624576,test,2
624787,test,7
624844,test,2
625200,test,0
625498,test,8
625501,test,1
625541,test,2
625685,test,0
626035,test,10
626123,test,3
626172,test,8
626392,test,8
626541,test,4
626550,test,1
626704,test,5
626835,test,5
627208,test,10
627744,test,4
628074,test,0
628250,test,4
628751,test,0
628812,test,1
629006,test,10
629011,test,5
629032,test,3
629074,test,10
629754,test,3
629930,test,0
630264,test,3
630924,test,2
631207,test,0
631234,test,10
631310,test,5
631764,test,10
631912,test,2
632152,test,10
632493,test,3
633402,test,3
633559,test,0
633643,test,0
633767,test,4
633856,test,10
634114,test,10
634231,test,6
634908,test,10
635293,test,4
635314,test,10
635326,test,0
635334,test,10
635352,test,10
635444,test,10
635496,test,2
635502,test,6
635565,test,0
635771,test,3
636283,test,1
636676,test,6
637027,test,0
637204,test,7
637256,test,9
637323,test,3
637461,test,4
637553,test,10
638750,test,3
638840,test,3
638927,test,0
638951,test,10
639472,test,4
639770,test,2
639825,test,2
640211,test,7
640236,test,5
640452,test,0
640480,test,10
640927,test,3
641147,test,4
641631,test,10
642142,test,7
642240,test,10
642413,test,6
642777,test,6
642819,test,0
642826,test,0
642835,test,0
642862,test,0
642868,test,0
642983,test,10
643152,test,2
643182,test,6
643293,test,8
643302,test,1
643359,test,8
643511,test,6
643636,test,9
643933,test,10
644052,test,5
644291,test,3
644336,test,3
644553,test,10
644561,test,10
644644,test,10
644887,test,10
644914,test,6
645002,test,2
645396,test,10
645576,test,2
645928,test,2
646020,test,10
646690,test,10
646694,test,10
646782,test,2
647367,test,0
647417,test,4
647537,test,3
647554,test,6
647890,test,4
647918,test,3
647971,test,0
648081,test,3
648089,test,6
649059,test,10
649128,test,0
649256,test,4
649498,test,9
649602,test,10
649786,test,5
649859,test,5
649879,test,10
650236,test,0
650245,test,2
650335,test,2
651496,test,10
651688,test,9
652330,test,8
652367,test,8
653136,test,10
653211,test,1
653289,test,9
653295,test,2
653656,test,10
653722,test,2
653735,test,4
653751,test,3
653933,test,10
653939,test,7
654018,test,9
654043,test,6
654813,test,0
654995,test,10
655392,test,10
655520,test,5
655675,test,10
655691,test,10
656165,test,6
656273,test,0
656300,test,3
656399,test,0
656790,test,10
656828,test,2
657172,test,10
657208,test,3
657337,test,7
657900,test,0
657997,test,0
658070,test,4
658186,test,0
658265,test,10
658285,test,10
658399,test,4
658704,test,1
658815,test,7
658974,test,4
659105,test,0
659193,test,10
659209,test,4
659365,test,10
659691,test,6
659954,test,2
660114,test,10
660209,test,3
660257,test,4
660405,test,2
660615,test,6
660629,test,1
660797,test,5
660822,test,10
660850,test,6
660862,test,0
661052,test,6
661254,test,9
661268,test,6
661374,test,6
661496,test,10
661618,test,2
661658,test,10
662034,test,3
662135,test,8
662719,test,6
663246,test,9
663397,test,10
663472,test,3
663723,test,1
663981,test,0
664532,test,4
664680,test,3
664738,test,10
665552,test,2
665748,test,10
665860,test,6
666049,test,5
666244,test,2
666364,test,10
666443,test,10
666614,test,10
666622,test,4
666647,test,1
666847,test,5
666933,test,10
667056,test,3
667933,test,10
668003,test,10
668101,test,4
668304,test,3
668685,test,5
669002,test,5
669128,test,5
669149,test,7
669297,test,5
669394,test,4
669521,test,3
669546,test,10
670105,test,3
670178,test,10
670267,test,5
670475,test,3
670765,test,10
670832,test,10
671136,test,10
671452,test,6
671870,test,2
672605,test,0
672769,test,7
673321,test,9
673506,test,5
673721,test,3
673900,test,5
674451,test,4
674589,test,3
674846,test,3
674851,test,6
674931,test,8
675015,test,1
675717,test,4
675815,test,6
676271,test,5
676925,test,1
677326,test,0
677398,test,4
678015,test,3
678339,test,10
679572,test,2
680256,test,2
680444,test,3
680694,test,6
680940,test,5
681056,test,2
681101,test,10
681502,test,8
682142,test,3
682143,test,6
682634,test,8
682975,test,1
683476,test,2
683627,test,10
683681,test,2
684055,test,5
684205,test,3
684430,test,7
